asset_id,date,close_price
1,2023-01-02,181.68
1,2023-01-03,181.3
1,2023-01-04,183.49
1,2023-01-05,188.59
1,2023-01-06,187.87
1,2023-01-09,187.16
1,2023-01-10,192.55
1,2023-01-11,195.29
1,2023-01-12,193.72
1,2023-01-13,195.68
1,2023-01-16,194.13
1,2023-01-17,192.58
1,2023-01-18,193.5
1,2023-01-19,186.91
1,2023-01-20,181.18
1,2023-01-23,179.42
1,2023-01-24,176.22
1,2023-01-25,177.29
1,2023-01-26,174.46
1,2023-01-27,170.1
1,2023-01-30,174.65
1,2023-01-31,174.01
1,2023-02-01,174.29
1,2023-02-02,169.89
1,2023-02-03,168.3
1,2023-02-06,168.7
1,2023-02-07,165.27
1,2023-02-08,166.46
1,2023-02-09,164.72
1,2023-02-10,163.92
1,2023-02-13,162.21
1,2023-02-14,167.69
1,2023-02-15,167.71
1,2023-02-16,164.59
1,2023-02-17,167.09
1,2023-02-20,163.48
1,2023-02-21,164.17
1,2023-02-22,158.44
1,2023-02-23,154.72
1,2023-02-24,155.33
1,2023-02-27,157.45
1,2023-02-28,158.0
1,2023-03-01,157.74
1,2023-03-02,156.94
1,2023-03-03,152.83
1,2023-03-06,150.91
1,2023-03-07,149.72
1,2023-03-08,152.63
1,2023-03-09,153.63
1,2023-03-10,148.82
1,2023-03-13,149.75
1,2023-03-14,148.77
1,2023-03-15,147.02
1,2023-03-16,148.69
1,2023-03-17,151.51
1,2023-03-20,154.11
1,2023-03-21,151.85
1,2023-03-22,151.06
1,2023-03-23,152.02
1,2023-03-24,154.75
1,2023-03-27,153.48
1,2023-03-28,153.03
1,2023-03-29,150.04
1,2023-03-30,146.87
1,2023-03-31,149.08
1,2023-04-03,152.78
1,2023-04-04,152.64
1,2023-04-05,155.46
1,2023-04-06,156.53
1,2023-04-07,154.78
1,2023-04-10,155.85
1,2023-04-11,160.22
1,2023-04-12,160.18
1,2023-04-13,164.76
1,2023-04-14,157.06
1,2023-04-17,159.44
1,2023-04-18,159.76
1,2023-04-19,158.96
1,2023-04-20,159.29
1,2023-04-21,153.65
1,2023-04-24,153.11
1,2023-04-25,154.15
1,2023-04-26,158.31
1,2023-04-27,156.9
1,2023-04-28,154.68
1,2023-05-01,153.34
1,2023-05-02,155.93
1,2023-05-03,156.92
1,2023-05-04,155.48
1,2023-05-05,156.98
1,2023-05-08,157.32
1,2023-05-09,160.13
1,2023-05-10,158.17
1,2023-05-11,157.3
1,2023-05-12,156.25
1,2023-05-15,152.2
1,2023-05-16,153.07
1,2023-05-17,153.85
1,2023-05-18,153.92
1,2023-05-19,153.34
1,2023-05-22,149.49
1,2023-05-23,148.42
1,2023-05-24,147.56
1,2023-05-25,145.49
1,2023-05-26,145.13
1,2023-05-29,146.24
1,2023-05-30,151.26
1,2023-05-31,151.8
1,2023-06-01,152.56
1,2023-06-02,152.42
1,2023-06-05,147.22
1,2023-06-06,147.21
1,2023-06-07,147.42
1,2023-06-08,154.02
1,2023-06-09,153.55
1,2023-06-12,154.44
1,2023-06-13,154.41
1,2023-06-14,151.22
1,2023-06-15,154.39
1,2023-06-16,156.54
1,2023-06-19,158.84
1,2023-06-20,156.3
